﻿Item Code;註記 (Notes);(箱)長 (Length Carton) cm;(箱)寬 (Width) cm;(箱)高 (Heigth) cm;(箱)重量 (Weigth);箱入數 (Number of Cartons);板入數 (Number of Pallets);庫存量 (Inventory Quantity);庫存單位 (Inventory Unit);庫存換算(箱) (Inventory Conversion (Carton));目前庫存 (Current Inventory) (PCS);Notes;Notes_EN
10052011001;崇德發洛神梅健康醋;30;23;29;12,81;12.0;70;120;PCS;10;92.0;;Chongde plum health vinegar
10052014001;百家珍蘆薈醋600ml;31;24;27;12,34;12.0;70;25;PCS;2,1;5.0;;Baijiazhen Aloe Vinegar 600ml
10052015001;百家珍梅子醋600ml;31;24;27;12,34;12.0;70;59;PCS;5;1.0;;Baijiazhen Plum Vinegar 600ml
10052017001;崇德發綜合水果醋;30;23;29;12,81;12.0;70;92;PCS;7,7;66.0;;Chongdefa Comprehensive Fruit Vinegar
10052019001;百家珍蘋果醋600ml;32;25;27;12,34;12.0;70;103;PCS;8,6;111.0;;Baijiazhen Apple Cider Vinegar 600ml
10052020001;百家珍蔓越莓醋600ml;32;25;27;12,34;12.0;70;702;PCS;58,5;210.0;;Baijiazhen Cranberry Vinegar 600ml
10052023001;家樂福梅子醋;32;24;26;12,73;12.0;90;79;PCS;6,6;206.0;;Carrefour plum vinegar
10052024001;家樂福蘋果醋;32;24;26;12,72;12.0;90;222;PCS;18,5;34.0;;Carrefour Apple Cider Vinegar
10052025001;百家珍紅葡萄醋600ml;32;25;27;12,4;12.0;70;303;PCS;25,3;140.0;;Baijiazhen red grape vinegar 600ml
10052033001;百家珍桑椹醋600ml;31;24;28;12,35;12.0;70;307;PCS;25,6;103.0;;Baijiazhen Mulberry Vinegar 600ml
10052035001;崇德發水蜜桃醋;30;24;29;12,55;12.0;70;98;PCS;8,2;295.0;;Chongde Peach Vinegar
10052046001;果然好喝紅葡萄蘋果雙果酢360ml;26;20;26;9,5;12.0;88;24;PCS;2;18.0;;Really delicious Red Grape Apple Double Fruit Wine 360ml
10052047001;果然好喝百香果白葡萄雙果酢360ml;26;20;26;9,5;12.0;80;24;PCS;2;6.0;;Really delicious Passion Fruit White Grape Double Fruit Wine 360ml
10053901001;十全蘋果醋飲料(即飲品)140ml;42;26;19;6,2;36.0;90;90;PCS;2,5;12.0;;Shiquan apple cider vinegar drink (ready to drink) 140ml
10053902001;十全蜜桃醋飲料(即飲品)140ml;42;26;19;6,2;36.0;80;32;PCS;0,9;18.0;;Shiquan peach vinegar drink (ready to drink) 140ml
10053903001;十全鳳梨醋飲料(即飲品)140ml;42;26;19;6,2;36.0;80;39;PCS;1,1;12.0;;Shiquan pineapple vinegar drink (ready to drink) 140ml
10053904001;十全葡萄醋飲料(即飲品)140ml;42;26;19;6,2;36.0;80;33;PCS;1;6.0;;Shiquan grape vinegar drink (ready to drink) 140ml
10053909001;泰山奇兒思Cheers+果醋氣泡飲PET380ml;41;27;20;10,66;24.0;63;16;PCS;0,7;4.0;;Taishan Cheers + Fruit Vinegar Sparkling Drink PET380ml
10100027001;金牌台灣啤酒Can330ml 金牌台灣啤酒;41;27;13;8,588;24.0;100;138;PCS;5,8;480.0;;Gold Medal Taiwan Beer Can330ml Gold Medal Taiwan Beer
10100116001;金牌FREE啤酒風味飲料;41;27;12;8,7;24.0;100;2252;PCS;93,9;672.0;;Gold Medal FREE Beer Flavored Beverage
10100132001;海尼根0.0零酒精Can330ml;40;28;12;8,55;24.0;100;1638;PCS;68,3;456.0;;Heineken 0.0 Zero Alcohol Can330ml
10100222001;HITE ZERO無酒精啤酒風味飲料;41;28;13;9,29;24.0;99;70;PCS;3;36.0;;HITE ZERO non-alcoholic beer flavored drinks
10102898001;台啤果微醺啤酒-荔枝;41;27;12;8,72;24.0;100;69;PCS;2,9;72.0;;Taiwan Beer Tipsy Beer - Lychee
10303001001;舒味思蘇打汽水Can330ml;40;27;12;8,87;24.0;100;5141;PCS;214,3;703.0;;Shuwei Soda Soda Can 330ml
10303002001;舒味思通寧汽水Can330ml;40;27;12;8,87;24.0;100;4667;PCS;194,5;706.0;;Shuweisitongning Soda Can330ml
10303003001;舒味思薑汁汽水Can330ml;40;27;12;8,752;24.0;110;1848;PCS;77;217.0;;Shuweisi Ginger Ale Can 330ml
10904003001;桂格養氣人蔘盒裝48入贈野餐墊;29;23;32;9,1;1.0;85;0;PCS;0;16.0;;Quaker Nourishing Ginseng Box (48 pieces) comes with a picnic mat
10904005001;桂格活靈芝禮盒 60mlx8;47;31;16;8,81;6.0;72;76;PCS;12,7;24.0;;Quaker Live Ganoderma Gift Box 60mlx8
10904006001;華齊堂楓糖金絲燕窩禮盒75mlx9入;58;31;21;14,9;6.0;42;26;PCS;4,4;12.0;;Huaqitang Maple Sugar Golden Bird's Nest Gift Box 75mlx9 pieces
10904008001;桂格雙效活靈芝禮盒60ml*8;47;31;17;10,32;6.0;80;22;PCS;3,7;12.0;;Quaker Double Effect Live Ganoderma Gift Box 60ml*8
10904011001;華齊堂金絲燕窩晶露(蜂王乳添加)禮盒;42;28;36;13,08;6.0;36;70;PCS;11,7;23.0;;Huaqitang Golden Bird's Nest Crystal Dew (with royal jelly added) gift box
10904012001;華佗冬蟲夏草雞精禮盒68mlx9;54;32;27;17,778;8.0;30;40;PCS;5;16.0;;Huatuo Cordyceps and Chicken Essence Gift Box 68mlx9
10904020001;桂格養氣人蔘盒裝48瓶附Hello Kitty冰霸杯;34;22;28;8,55;1.0;78;18;PCS;18;;;Quaker Nourishing Ginseng Box 48 bottles with Hello Kitty Ice Cup
10904021001;桂格養氣人蔘滋補大禮盒60ml*8;48;31;19;10,53;6.0;64;54,33333333;PCS;9,1;18.0;;Quaker Nourishing Ginseng Nourishing Gift Box 60ml*8
10904027001;華齊堂雪蛤燕窩飲禮盒75mlx9;58;33;21;15,07;6.0;42;52;PCS;8,7;42.0;;Huaqitang snow clam and bird's nest drink gift box 75mlx9
10904028001;桂格養氣人蔘雞精禮盒68ml*8;67;25;20;11,45;6.0;28;53,66666667;PCS;9;17.0;;Quaker Nourishing Ginseng and Chicken Essence Gift Box 68ml*8
10904899001;桂格養氣人蔘禮盒60mlx8;47;31;6;8,81;6.0;72;150,6666667;PCS;25,2;48.0;;Quaker Nourishing Ginseng Gift Box 60mlx8
11000003001;奇偉固體鞋油－透明 奇偉固體鞋油;22;8;9;0,74;12.0;840;24;PCS;2;24.0;;Qiwei Solid Shoe Polish-Transparent Qiwei Solid Shoe Polish
11002001001;快潔適消臭噴霧鞋類專用 消毒劑;19;14;18;1,76;12.0;432;24;PCS;2;24.0;;Quick Clean Deodorizing Spray Footwear Special Disinfectant
11002007001;去味大師鞋內除臭芳香劑 220ml;23;16;18;7,66;12.0;96;36;PCS;3;24.0;;Deodorizer Shoe Deodorant Fragrance 220ml
11010001001;威猛先生地板瓶裝-芬多精;38;25;29;14,08;6.0;50;21,66666667;PCS;3,7;62.0;;Mr. Mighty Floor Bottle-Phytoncidin
11010002001;魔術靈地板噴易拖森林湖畔噴槍 魔術靈地板噴易;45;34;28;12,058;24.0;42;48;PCS;2;48.0;;Magic Spirit Floor Spray Easy Mop Forest Lakeside Spray Gun Magic Spirit Floor Spray Easy
11010005001;香滿室茶樹地板清潔劑補充包;36;33;32;12,1;6.0;45;34;PCS;5,7;5.0;;Xiangmanshi Tea Tree Floor Cleaner Refill Pack
11010007001;清淨海環保地板清潔劑;36;27;31;13,73;6.0;55;289;PCS;48,2;287.0;;Qingjinghai environmentally friendly floor cleaner
11010008002;威猛先生愛地潔地板清潔劑;39;23;32;17,17;4.0;52;0;PCS;0;0.0;;Mr. Powerful floor cleaner
11010012001;威猛先生地板清潔劑完美花香;38;26;29;13,88;6.0;60;183;PCS;30,5;34.0;;Mr. Wham Floor Cleaner Perfect Floral Scent
11010013001;魔術靈地板清潔劑;40;26;30;13,77;6.0;60;27;PCS;4,5;59.0;;Magic spirit floor cleaner
11010013002;魔術靈地板清潔劑;40;26;30;13,67;6.0;50;27;PCS;4,5;2.0;;Magic spirit floor cleaner
11010015001;妙管家除臭地板清潔劑-瓶裝;37;24;28;13,46;6.0;60;12;PCS;2;11.0;;Wonderhouse deodorizing floor cleaner - bottled
11010015002;妙管家除臭地板清潔劑-瓶裝;37;25;28;13,5;6.0;60;9;PCS;1,5;28.0;;Wonderhouse deodorizing floor cleaner - bottled
11010016001;香滿室薰衣草地板清潔劑補充包;36;34;32;11,798;6.0;45;82;PCS;13,7;15.0;;Xiangmanshi Lavender Floor Cleaner Refill Pack
11010018001;白帥帥防蟑地板清潔劑;38;24;27;13,48;6.0;60;21;PCS;3,5;3.0;;Baishuaishai anti-cockroach floor cleaner
11010019001;威猛先生地板清潔劑清新早晨;38;26;29;13,88;6.0;60;43;PCS;7,2;18.0;;Mr. Wham Floor Cleaner Fresh Morning
11010020001;威猛先生地板補充包完美花香;42;33;19;12,02;6.0;72;90;PCS;15;10.0;;Mister Mighty Floor Refill Pack Perfectly Floral
11010021001;魔術靈地板清潔劑補充包;36;24;31;11,8;6.0;60;128,6666667;PCS;21,5;34.0;;Magic Floor Cleaner Refill Pack
11010021002;魔術靈地板清潔劑補充包;33;27;32;11,61;6.0;60;82;PCS;13,7;16.0;;Magic Floor Cleaner Refill Pack
11010022001;威猛先生地板補充包-芬多精;43;33;19;12,06;6.0;72;59;PCS;9,9;35.0;;Mr. Mighty Floor Refill Pack - Phytonol
11010023001;威猛先生地板補充包-檸檬;43;33;19;12,5;6.0;72;82;PCS;13,7;21.0;;Mr. Mighty Floor Refill Pack – Lemon
11010024001;威猛先生地板補充包清新早晨;42;33;19;11,91;6.0;72;40;PCS;6,7;8.0;;Mister Mighty Floor Refill Pack Fresh Morning
11010025001;威猛先生檸檬地板清潔  2000ML;38;26;28;14,22;6.0;60;42;PCS;7;4.0;;Mr. Mighty Lemon Floor Cleaner 2000ML
11010026001;妙管家除臭地板清潔劑補充包;36;24;31;12,68;6.0;55;32;PCS;5,4;30.0;;Magic Butler Deodorizing Floor Cleaner Refill Pack
11010027001;魔術靈地板清潔劑清新海洋;40;26;30;13,77;6.0;60;78;PCS;13;9.0;;Magic spirit floor cleaner fresh ocean
11010029001;妙管家地板清潔劑加侖桶;39;24;32;16,62;4.0;52;23,33333333;PCS;5,9;0.0;;Wonderhouse Floor Cleaner Gallon Bucket
11010035001;毛寶香滿室檀木馨香地板清潔劑;31;31;32;13,45;6.0;60;96;PCS;16;11.0;;Maobao Xiangmanshi Sandalwood Fragrance Floor Cleaner
11010037001;威猛先生地板瓶裝舒活海洋 威猛先生地板瓶;40;27;29;14;6.0;60;6;PCS;1;12.0;;Mr. Mighty Floor Bottle Shuhuo Ocean Mr. Mighty Floor Bottle
11010038001;優品木質地板亮光腊 優品木質地板腊;41;28;28;13,58;12.0;50;24;PCS;2;24.0;;Premium wooden floor gloss wax Premium wooden floor wax
11010040001;毛寶香滿室海洋微風地板清潔劑;32;30;31;13,4;6.0;60;146;PCS;24,4;37.0;;Maobao Xiangmanshi Ocean Breeze Floor Cleaner
11010042001;家福超值地板清潔劑;37;25;32;17,21;4.0;48;330;PCS;82,5;160.0;;Jiafu Value Floor Cleaner
11010043001;毛寶香滿室檀木地板清潔補充包;36;34;32;11,84;6.0;45;113;PCS;18,9;19.0;;Maobao Xiangmanshi Sandalwood Floor Cleaning Refill Pack
11010045001;毛寶香滿室海洋微風清潔補充包;36;34;32;11,92;6.0;45;46,33333333;PCS;7,8;4.0;;Maobao Room Ocean Breeze Cleansing Refill Pack
11010047001;威猛先生地板補充包舒活海洋;42;33;19;11,89;6.0;72;;PCS;;0.0;;Mr. Mighty Floor Refill Pack Shuho Marine
11010051001;公道先生地板清潔劑;33;24;28;13,59;6.0;65;53,33333333;PCS;8,9;10.0;;Mr. Justice floor cleaner
11010052001;魔術靈地板清潔劑鮮採檸檬;40;26;30;13,77;6.0;60;42;PCS;7;0.0;;Magic Spirit Floor Cleaner Freshly Picked Lemon
11010055001;威猛先生地板清潔劑加侖花香;39;23;32;16,662;4.0;52;;PCS;;1.0;;Mr. Wham Floor Cleaner Gallon Floral Scent
11010056001;威猛先生地板清潔劑補充包鮮橙;42;33;19;12,02;6.0;72;;PCS;;9.0;;Mr. Wham Floor Cleaner Refill Pack Orange
11010057001;威猛先生地板清潔劑補充包薰衣;42;33;19;11,92;6.0;72;;PCS;;20.0;;Mr. Wham Floor Cleaner Refill Pack Lavender
11010058001;威猛先生地板清潔劑清新鮮橙;39;26;29;14;6.0;60;38,66666667;PCS;6,5;29.0;;Mr. Wham Floor Cleaner Fresh Orange
11010059001;威猛先生地板清潔劑薰衣草;38;26;29;14;6.0;60;48;PCS;8;10.0;;Mr. Wham floor cleaner lavender
11010060001;魔術靈地板清潔劑清新海洋補充;37;24;31;11,82;6.0;60;97,33333333;PCS;16,3;14.0;;Magic Spirit Floor Cleaner Fresh Ocean Refill
11010061001;魔術靈地板清潔劑鮮採檸檬補充;37;24;31;11,82;6.0;60;49;PCS;8,2;13.0;;Magic Spirit Floor Cleaner Freshly Picked Lemon Supplement
11010112001;毛寶香滿室薰衣草地板清潔劑;31;30;31;13,392;6.0;60;32,66666667;PCS;5,5;34.0;;Maobaoxiangman room lavender floor cleaner
11010115001;香滿室清新茶樹地板清潔劑;32;30;32;13,4;6.0;60;46;PCS;7,7;113.0;;Fragrant room fresh tea tree floor cleaner
11010116001;妙管家木質地板清潔劑;27;39;28;13,4;12.0;60;41,66666667;PCS;3,5;24.0;;Wonderhouse Wooden Floor Cleaner
11010120001;家福亞麻籽油地板清潔劑 家福亞麻籽油地;35;27;27;10,73;12.0;40;24;PCS;2;24.0;;Jiafu Linseed Oil Floor Cleaner Jiafu Linseed Oil Floor
11020001001;家福 ECO環保玻璃清潔劑 家福 ECO環保玻;41;21;30;11,6;14.0;40;28;PCS;2;27.0;;Jiafu ECO environmentally friendly glass cleaner Jiafu ECO environmentally friendly glass
11020002001;新-魔術靈玻璃清潔劑噴槍瓶;44;34;27;14,54;24.0;42;440,6666667;PCS;18,4;78.0;;NEW - Magic Spirit Glass Cleaner Spray Gun Bottle
11020003001;新-魔術靈玻璃清潔劑經濟瓶;45;33;25;14,6;12.0;49;97,33333333;PCS;8,2;13.0;;NEW-Magic Spirit Glass Cleaner Economical Bottle
11020004001;家福 ECO環保玻璃清潔劑 充瓶 家福 ECO環保玻;41;21;30;11,6;14.0;40;28;PCS;2;28.0;;Jiafu ECO environmentally friendly glass cleaner refill bottle Jiafu ECO environmentally friendly glass
11020005001;威猛先生玻璃清潔劑;44;23;33;16,55;4.0;50;97;PCS;24,3;0.0;;Mr. Wham glass cleaner
11020008001;新威猛先生玻璃噴槍;33;24;29;7,69;12.0;96;144,3333333;PCS;12,1;111.0;;New Mr. Mighty Glass Spray Gun
11020010001;新威猛先生玻璃重裝;32;24;25;7,39;12.0;112;32;PCS;2,7;16.0;;New Mister Mister Glass Reinstallation
11020012001;家福玻璃清潔劑;33;24;24;7,21;12.0;84;129;PCS;10,8;29.0;;Jiafu glass cleaner
11020013001;妙管家玻璃亮光清潔劑;34;21;29;8,44;12.0;70;75,33333333;PCS;6,3;112.0;;Wonderhouse glass gloss cleaner
11021002001;白博士廚房去污濕巾60入;39;33;22;10,19;24.0;63;70;PCS;3;75.0;;Dr. Bai's Kitchen Decontamination Wipes 60 Pack
11021004001;ecostore環保廚房清潔噴霧甜橙 廚房清潔噴霧;22;16;27;3,5;6.0;180;12;PCS;2;12.0;;ecostore environmentally friendly kitchen cleaning spray sweet orange kitchen cleaning spray
11021005001;白博士廚房清潔劑       600ML;27;21;26;8,214;12.0;108;65;PCS;5,5;0.0;;Dr. Bai Kitchen Cleaner 600ML
11021005002;白博士廚房清潔劑;35;22;27;10,3;12.0;78;124;PCS;10,4;18.0;;Dr. Bai kitchen cleaner
11021006001;威猛先生廚房超強效;41;41;30;14,3;12.0;30;82,66666667;PCS;6,9;17.0;;Mr. Mighty Kitchen Super Powerful
11021007001;魔利萬用去污劑大瓶裝;42;23;33;13,1;4.0;50;31;PCS;7,8;2.0;;Moli all-purpose stain remover large bottle
11021009001;威猛先生廚房清潔劑;45;23;32;18,29;4.0;50;;PCS;;0.0;;Mr. Mighty Kitchen Cleaner
11021011001;白博士抗菌濕巾(10張x3包) 白博士抗菌濕巾;30;29;20;5,21;24.0;96;48;PCS;2;48.0;;Dr. White Antibacterial Wipes (10 sheets x 3 packs) Dr. White Antibacterial Wipes
11021013001;魔術靈廚房清潔劑--桶裝;42;21;29;12,68;3.0;50;280;PCS;93,4;20.0;;Magic Spirit Kitchen Cleaner--Bucket
11021015001;白博士廚房清潔劑含除菌 600ML;27;20;26;8,28;12.0;108;;PCS;;2.0;;Dr. Bai's Kitchen Cleaner with Bacteria Removal 600ML
11021015002;白博士廚房清潔除菌贈   600ML;35;22;27;10,3;12.0;78;1232;PCS;102,7;366.0;;Dr. Bai’s Kitchen Cleansing and Sterilizing Gift 600ML
11021017001;橘子工坊廚房爐具專用清潔劑;;;;;12.0;48;71;PCS;6;18.0;;Orange Workshop kitchen stove special cleaner
11021018001;新-廚房魔術靈噴槍;44;34;28;14,6;24.0;42;137,6666667;PCS;5,8;57.0;;New-Kitchen Magic Spray Gun
11021019001;立得清腸病毒濕巾50抽;48;33;23;11;36.0;49;52;PCS;1,5;65.0;;Ride Virus Cleansing Wipes 50 cigarettes
11021020001;家福全效多功能馬賽皂去汙家用清潔劑 家福全效多功能;29;26;26;10,92;8.0;64;16;PCS;2;15.0;;Jiafu full-effect multifunctional Marseille soap decontamination household cleaner Jiafu full-effect multifunctional
11021023001;白博士廚房清潔劑噴槍型;33;21;29;8,45;12.0;78;24;PCS;2;21.0;;Dr. Bai kitchen cleaner spray gun type
11021025001;清檜-抗菌驅蟲萬用清潔劑600ml;42;26;22;8,72;12.0;63;31;PCS;2,6;44.0;;Qing Hui-antibacterial and insect repellent all-purpose cleaner 600ml
11021026001;家福強效廚房清潔劑;37;25;33;16,48;4.0;48;38;PCS;9,5;36.0;;Jiafu powerful kitchen cleaner
11021027001;魔術靈多用途清潔濕巾補充包 濕巾柑橘香補包;27;27;19;5,026;12.0;144;24;PCS;2;22.0;;Magic Spirit Multi-Purpose Cleansing Wipes Refill Pack Wet Wipes Citrus Scented Refill Pack
11021027002;魔術靈多用途清潔濕巾補充包 濕巾綠茶香補包;27;27;19;5,026;12.0;144;24;PCS;2;23.0;;Magic Spirit multi-purpose cleaning wipes refill pack Wet wipes green tea scented refill pack
11021028001;毛寶小蘇打廚房清潔劑噴槍瓶;34;24;24;7,41;12.0;98;75;PCS;6,3;1.0;;Maobao Baking Soda Kitchen Cleaner Spray Gun Bottle
11021029001;新-廚房魔術靈經濟瓶2入裝;37;32;25;13,7;12.0;63;180;PCS;15;30.0;;NEW-Kitchen Magic Economy Bottle 2 Pack
11021030001;新-廚房魔術靈青蘋不刺鼻噴槍;44;34;28;15,14;24.0;42;70;PCS;3;28.0;;NEW-Kitchen Magic Green Apple Non-Pungent Spray Gun
11021032001;立得清腸病毒濕巾10抽2入;30;30;19;3,76;30.0;108;60;PCS;2;58.0;;10 pieces of liquid enterovirus cleansing wipes, 2 pieces
11021036001;新廚房魔術靈青蘋不刺鼻經濟2P;36;31;25;14,1;12.0;63;33;PCS;2,8;16.0;;New Kitchen Magic Green Apple is not pungent and economical 2P
11021039001;毛寶超強效萬用去汙劑 毛寶萬用去汙劑;34;37;29;7,66;12.0;72;24;PCS;2;24.0;;Maobao Super Powerful All-Purpose Stain Remover Maobao All-Purpose Stain Remover
11021041001;潔霜廚房噴槍;28;26;27;7,98;12.0;72;272,3333333;PCS;22,7;40.0;;Cream kitchen spray gun
11021042001;ecostore環保多用途清潔噴霧柑 多用途清潔噴霧;22;16;27;3,6;6.0;180;12;PCS;2;12.0;;ecostore environmentally friendly multi-purpose cleaning spray mandarin multi-purpose cleaning spray
11021043001;魔利泡沫廚房清潔劑 魔利廚房清潔劑;23;29;28;7,82;12.0;108;24;PCS;2;24.0;;Magic Foam Kitchen Cleaner Magic Kitchen Cleaner
11021044001;3M魔利萬用去污劑;31;24;29;7,5;12.0;72;27,33333333;PCS;2,3;130.0;;3M magic all-purpose stain remover
11021045001;立得清酒精擦濕巾90抽3入組;33;32;34;12,07;8.0;45;184;PCS;23;;;Ridex Cleansing Alcohol Wipes 90 Pump 3 into the group
11021046001;衣麗亮白-氣炸鍋天然檸檬油清潔泡泡 衣麗亮白氣炸鍋;48;17;26;7,388;12.0;84;24;PCS;2;24.0;;Yili Whitening-Air Fryer Natural Lemon Oil Cleansing Bubble Yili Whitening Air Fryer
11021047001;台糖酒精擦隨身包;47;27;35;13,71;240.0;50;253;PCS;1,1;37.0;;Taiwan sugar alcohol wipe carry-on bag
11021051001;高樂氏居家殺菌濕紙巾;26;18;23;2,39;6.0;147;;PCS;;54.0;;Clorox Home Sanitizing Wipes
11021051002;高樂氏居家殺菌濕紙巾;26;18;23;2,39;6.0;147;28;PCS;4,7;8.0;;Clorox Home Sanitizing Wipes
11021052001;高樂氏萬用清潔噴劑;40;25;27;10;9.0;50;61,66666667;PCS;6,9;311.0;;Clorox All Purpose Cleaning Spray
11021057001;家福全效多功能高山氣息家用清潔劑  家福全效多功;29;26;26;10,92;8.0;80;16;PCS;2;16.0;;Jiafu full-effect multi-purpose mountain scent household cleaner Jiafu full-effect multi-purpose
11021058001;家福全效多功能松香家用清潔劑 家福全效多功;29;26;26;10,92;8.0;80;16;PCS;2;15.0;;Jiafu full-effect multi-purpose rosin household cleaner Jiafu full-effect multi-purpose
11021059001;法國玫翠思亞麻油黑肥皂1L 玫翠思黑皂薰衣;38;24;32;16,24;12.0;48;24;PCS;2;24.0;;French Metris Linseed Oil Black Soap 1L Metris Black Soap Lavender
11021059002;法國玫翠思亞麻油黑肥皂1L 玫翠思黑皂馬鞭;36;27;28;13,6;12.0;55;24;PCS;2;23.0;;French Metris Linseed Oil Black Soap 1L Metris Black Soap Horsewhip
11021060001;家福馬賽皂廚房清潔劑-噴槍;39;20;30;10,5;12.0;60;34;PCS;2,9;26.0;;Jiafu Marseille Soap Kitchen Cleaner-Spray Gun
11021061001;家福全效多功能黑肥皂家用清潔劑 家福全效多功能;29;26;26;10,92;8.0;80;15;PCS;1,9;16.0;;Jiafu full-effect multi-purpose black soap household cleaner Jiafu full-effect multi-purpose
11021062001;威猛無添加廚房浴室超值組500+500g 廚房浴室組;43;31;29;14,71;12.0;40;24;PCS;2;19.0;;WITTMANN additive-free kitchen and bathroom value set 500+500g kitchen and bathroom set
11021063001;新威猛先生廚房超強效重裝;32;23;24;7,3;12.0;90;30;PCS;2,5;148.0;;New Mr. Whammy Kitchen Super Powerful Remodeling
11021064001;新威猛先生廚房檸檬噴槍;32;23;29;7,33;12.0;96;67,33333333;PCS;5,7;182.0;;New Mr. Mighty Kitchen Lemon Spray Gun
11021065001;新威猛先生廚房檸檬重裝;31;23;25;6,83;12.0;112;27;PCS;2,3;20.0;;New Mister Mister Kitchen Lemon Remodel
11021066001;毛寶超強效萬用去污劑白柚清香 毛寶去污劑補瓶;32;30;30;13,62;6.0;60;12;PCS;2;11.0;;Maobao super powerful all-purpose detergent white pomelo fragrance Maobao detergent refill bottle
11021067001;家福全效多功能橄欖油黑肥皂濕巾 (80張) 家福全效多功能;37;20;11;2,44;10.0;168;20;PCS;2;20.0;;Jiafu full-effect multi-functional olive oil and black soap wet wipes (80 photos) Jiafu full-effect multi-function
11021068001;家福橄欖油黑肥皂廚房清潔劑-噴槍;39;20;30;9,8;12.0;60;109;PCS;9,1;35.0;;Jiafu Olive Oil Black Soap Kitchen Cleaner-Spray Gun
11021071001;立得清酒精瞬潔擦濕巾50抽;33;33;32;10,49;36.0;45;527;PCS;14,7;355.0;;LiDe Cleansing Alcohol Instant Cleansing Wipes 50 pumps
11021073001;3M百利家用除菌清潔濕巾40入桶裝;35;27;24;4,41;12.0;84;1;PCS;0,1;11.0;;3M Bailey Household Bacteria Cleaning Wipes 40 Pack
11021074001;3M百利家用除菌清潔濕巾85入桶裝;34;23;24;4,35;6.0;84;9;PCS;1,5;12.0;;3M Bailey Household Bacteria Cleaning Wipes 85 Pack
11021095001;高樂氏-居家殺菌濕紙巾(檸檬香)75片;34;23;23;4,47;6.0;105;12;PCS;2;11.0;;Clorox-Home Sterilizing Wipes (Lemon Scent) 75 pieces
11021096001;高樂氏-居家殺菌濕紙巾(清新香)75片;34;23;23;4,47;6.0;105;12;PCS;2;8.0;;Clorox-Home Sterilizing Wet Wipes (Fresh Scent) 75 pieces
11021999001;魔術靈多用途清潔濕巾桶裝 濕巾柑橘香桶裝;44;34;19;6,24;12.0;72;24;PCS;2;0.0;;Magic Spirit multi-purpose cleaning wipes in a bucket Wet wipes in a citrus scent bucket
11021999002;魔術靈多用途清潔濕巾桶裝 濕巾綠茶香桶裝;44;34;19;6,24;12.0;72;24;PCS;2;0.0;;Magic spirit multi-purpose cleaning wipes in a bucket Wet wipes in a green tea scented bucket
11022001001;魔術靈浴室噴槍-舒適檸檬;34;23;27;7,73;12.0;96;174;PCS;14,5;14.0;;Magic Spirit Bathroom Spray Gun-Comfortable Lemon
11022002001;橘子工坊天然制菌浴廁清潔劑;;;;;12.0;48;231;PCS;19,3;32.0;;Orange Workshop Natural Antibacterial Bath and Toilet Cleaner
11022003001;魔術靈浴室清潔劑噴槍;34;23;27;7,73;12.0;96;63,66666667;PCS;5,4;39.0;;Magic Spirit Bathroom Cleaner Spray Gun
11022003002;魔術靈浴室清潔劑噴槍;33;22;27;7,67;12.0;96;72,66666667;PCS;6,1;6.0;;Magic Spirit Bathroom Cleaner Spray Gun
11022006001;浴廁魔術靈除霉漂潔- 噴槍瓶;36;21;23;6,2;12.0;98;199;PCS;16,6;0.0;;Bath and toilet magic mildew remover and bleach-spray gun bottle
11022007001;魔術靈浴室經濟瓶舒適檸檬2入;37;32;25;13,7;12.0;63;124,6666667;PCS;10,4;167.0;;Magic Spirit Bathroom Economy Bottle Comfort Lemon 2 Pack
11022009001;威猛先生去霉劑噴槍瓶;32;23;30;7,24;12.0;75;;PCS;;185.0;;Mr. Mighty Mildew Remover Spray Gun Bottle
11022010001;威猛先生浴室清潔劑;45;24;33;17,838;4.0;50;62;PCS;15,5;0.0;;Mr. Mighty Bathroom Cleaner
11022011001;新威猛先生浴室噴槍;32;24;29;7,69;12.0;96;;PCS;;50.0;;New Mr. Mighty Bathroom Spray Gun
11022012001;威猛先生浴室全效噴槍+重裝;44;32;30;13,5;12.0;40;198,6666667;PCS;16,6;47.0;;Mr. Mighty Bathroom Full Effect Spray Gun + Reinstallation
11022014001;浴廁魔術靈除霉漂潔- 更替瓶;36;21;17;5,79;12.0;126;211;PCS;17,6;29.0;;Bathroom Magic Magic Cleansing and Mold Remover - Replacement Bottle
11022015001;魔術靈浴室清潔劑舒適檸檬--桶裝;42;21;29;12,65;3.0;50;248,6666667;PCS;82,9;0.0;;Magic Spirit Bathroom Cleaner Comfort Lemon - Bucket
11022017001;家福強效浴室清潔劑;37;25;33;16,578;4.0;48;29;PCS;7,3;50.0;;Jiafu powerful bathroom cleaner
11022018001;浴室魔術靈噴槍500ml+經濟瓶;43;33;29;14,37;12.0;48;381;PCS;31,8;0.0;;Bathroom magic spray gun 500ml + economical bottle
11022019001;威猛先生浴室全效溫和清潔劑噴槍;32;23;30;7,24;12.0;75;50;PCS;4,2;54.0;;Mr. Mighty Bathroom Gentle Cleaner Spray Gun
11022021001;清淨海環保浴廁清潔劑 清淨海浴廁清潔;37;22;26;7,25;12.0;78;24;PCS;2;22.0;;Qingjinghai environmentally friendly bath and toilet cleaner Qingjinghai environmentally friendly bath and toilet cleaner
